Fish,Date,Location,Site,CentralLatitude,CentralLongitude,AgeCategory,Species,TotalLength_mm,ForkLength_mm,TotalWeight_g,LiverWeight_g,GonadWeight_g,SubgonadWeight_g,Sex,Filet,FieldComments,DateWW,Vial_g,FiletandVialWW_g,Date_dw,FiletandVialDW_g,Comments,PercentMoisture,DmaDate,MassAnalyzed_g,Hg_ng,Hg_ug_per_kgdw,Hg_ug_per_kgww,DmaComments
FF-YP-A-25,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,205,195,108.2,1.094,2.643,1.538,F,Y,,,,,,,,,,,,,,
FF-YP-A-26,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,184,175,77.4,0.506,4.628,,M,Y,,2020-12-15,7.06084,11.15713,2020-12-18,7.86404,,80.39201,2021-01-18,0.0105,18.1076,1724.533,338.1462582,
FF-YP-A-27,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,185,180,60,0.892,1.505,1.505,F,Y,scar on side,2020-12-15,7.07398,10.12197,2020-12-18,7.61906,,82.11674,2021-01-19,0.0103,24.1504,2344.6953,419.3079567,
FF-YP-A-28,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,265,254,214.5,2.729,7.822,1.422,F,Y,scar on side,2020-12-15,7.06532,11.84631,2020-12-18,8.02977,,79.8274,2021-01-19,0.0104,25.1956,2422.6563,488.7127648,
FF-YP-A-29,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,165,162,50.7,0.245,2.417,,M,Y,,2020-12-15,7.07082,8.3494,2020-12-18,7.32157,,80.3884,2021-01-20,0.0105,18.6006,1771.4855,347.4166503,
FF-YP-A-30,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,200,197,93.3,1.151,3.056,1.623,F,Y,,2020-10-25,7.06447,8.66355,2020-10-29,7.38244,,80.11544,2020-12-01,0.0102,15.6658,1535.8634,305.3996793,
FF-YP-A-31,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,202,194,97.3,0.993,2.87,1.169,F,Y,,2020-12-15,7.11185,8.41091,2020-12-18,7.35565,,81.23258,2021-01-19,0.0104,19.0408,1830.8458,343.6025208,
FF-YP-A-32,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,153,145,54.2,0.322,3.4,,M,Y,,2020-12-16,7.04455,8.66365,2020-12-18,7.36657,,80.11117,2021-01-18,0.0105,18.077,1721.6211,342.4102938,
FF-YP-A-33,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,209,204,116.8,1.155,3.497,1.468,F,Y,,2020-12-16,7.04613,10.15681,2020-12-18,7.66525,,80.09696,2021-01-20,0.0104,15.1892,1460.5,290.6838992,
FF-YP-A-34,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,195,185,77.5,1.078,2.956,1.527,F,Y,,2020-12-15,7.10627,8.73485,2020-12-18,7.4215,,80.64387,2021-01-20,0.0105,21.6076,2057.8647,398.3229666,
FF-YP-A-35,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,172,168,73.2,0.438,6.017,,M,Y,,2020-10-25,7.09991,9.17349,2020-10-29,7.52734,,79.38686,2020-12-01,0.0101,14.0981,1395.8497,287.7284529,
FF-YP-A-36,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,210,202,106.2,1.016,2.661,1.325,F,Y,,2020-12-16,7.09754,8.28307,2020-12-18,7.33251,,80.18017,2021-01-20,0.0103,14.4874,1406.5465,278.7751252,
FF-YP-A-37,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,223,219,151.6,1.193,5.067,1.632,F,Y,,2020-12-13,7.11465,10.93271,2020-12-16,7.86664,,80.3044,2021-01-21,0.0101,25.898,2564.1602,505.0267364,
FF-YP-A-38,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,200,191,107.5,1.129,2.78,0.986,F,Y,,2020-10-25,7.08368,10.75547,2020-10-29,7.80448,,80.36925,2020-12-08,0.0103,15.188,1474.5677,289.4686988,
FF-YP-A-39,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,205,199,94.1,0.799,2.365,1.398,F,Y,,2020-12-16,7.08673,10.05382,2020-12-18,7.65939,,80.69961,2021-01-19,0.0105,12.8934,1227.9454,236.9982512,
FF-YP-A-40,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,166,159,48.3,0.273,3.153,,M,Y,,2020-10-25,7.11491,9.37566,2020-10-29,7.54143,,81.13369,2020-12-08,0.0104,16.523,1588.7506,299.7386133,
FF-YP-A-41,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,174,170,58.8,0.402,4.472,,M,Y,,2020-12-15,7.12694,7.83142,2020-12-18,7.26811,,79.96111,2021-01-18,0.0104,23.0629,2217.5859,444.3795992,
FF-YP-A-42,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,168,160,59.8,0.406,3.039,,M,Y,Many Parasites,2020-12-13,7.08404,10.77659,2020-12-16,7.79845,,80.65267,2021-01-20,0.0106,14.0659,1326.9702,256.7333036,
FF-YP-A-43,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,199,194,93.3,1.412,2.78,1.442,F,Y,,2020-12-13,7.14552,9.97509,2020-12-16,7.33594,,93.27036,2021-01-22,0.0101,17.0459,1687.7128,113.5769957,
FF-YP-A-44,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,182,164,68.1,0.44,5.754,,M,Y,,2020-12-16,7.10945,9.75857,2020-12-18,7.62141,,80.67434,2021-01-18,0.0104,18.8949,1816.8214,351.1127266,
FF-YP-A-45,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,175,169,54.4,0.315,2.98,,M,Y,,2020-12-15,7.10963,8.05462,2020-12-18,7.29285,,80.61144,2021-01-19,0.0104,16.878,1622.8881,314.654633,
FF-YP-A-46,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,179,171,66.8,0.795,1.854,1.854,F,Y,,2020-10-25,7.08124,9.96850,2020-10-29,7.65288,,80.20130,2020-12-01,0.0104,13.9515,1341.491,265.5978039,
FF-YP-A-47,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,198,194,77.4,0.725,2.234,1.301,F,Y,,2020-10-25,7.02332,10.02885,2020-10-29,7.55908,,82.17419,2020-12-09,0.0103,25.4381,2469.7168,440.2470243,
FF-YP-A-48,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,186,183,80.3,0.506,5.58,,M,Y,,2020-10-25,7.13434,8.90282,2020-10-29,7.49755,,79.46202,2020-11-25,0.0105,25.6684,2444.6069,502.0728762,
FF-YP-A-49,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,193,184,93.6,1.241,3.285,0.993,F,Y,,2020-12-16,7.1149,11.09348,2020-12-18,7.8943,,80.4101,2021-01-20,0.0103,16.6847,1619.8763,317.3321473,
FF-YP-A-50,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,176,172,66.2,0.642,4.97,,M,Y,,2020-12-16,7.10156,9.06202,2020-12-18,7.49191,,80.08886,2021-01-20,0.0102,15.098,1480.1987,294.7244354,
FF-YP-A-51,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,171,163,51.2,0.256,3.04,,M,Y,,2020-12-16,7.10114,10.19553,2020-12-18,7.65574,,82.07724,2021-01-20,0.0106,15.7117,1482.2336,265.6571708,
FF-YP-A-52,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,169,164,51.3,0.359,2.855,,M,Y,,2020-10-25,7.08477,8.46239,2020-10-29,7.34485,,81.12106,2020-12-08,0.0102,15.205,1490.6892,281.4263197,
FF-YP-A-53,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,160,152,46.2,0.232,2.624,,M,Y,,2020-12-15,7.08784,9.30948,2020-12-18,7.51588,,80.73315,2021-01-18,0.0104,17.5754,1689.9459,325.5993416,
FF-YP-A-54,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Yellow Perch,209,200,96.8,1.105,3.324,1.179,F,Y,,2020-12-15,7.0772,9.31641,2020-12-18,7.50263,,81.00089,2021-01-19,0.0103,26.6264,2585.0837,491.1428958,
FF-SMB-A-1,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Smallmouth Bass,490,470,1479,,,,F,N,"found dead, eggs dark, did not continue.",,,,,,,,,,,,,
FF-SMB-A-2,2020-10-02,Saint John River,FF,45.805451,-66.141779,Adult,Smallmouth Bass,443,421,1134,17.996,29.681,1.531,F,Y,,2020-12-15,7.09686,10.6579,2020-12-18,7.84387,,79.0227,2021-01-18,0.0105,64.5231,6145.0552,1289.066664,
NF-SMB-YOY-1,2020-09-08,Saint John River,NF,45.97149,-66.719803,YOY,Smallmouth Bass,65,62,3.6,,,,,Y,,,,,,,,,,,,,,
NF-SMB-YOY-2,2020-09-08,Saint John River,NF,45.97149,-66.719803,YOY,Smallmouth Bass,63,60,3.9,,,,,Y,Tail damaged,,,,,,,,,,,,,
NF-SMB-YOY-3,2020-09-08,Saint John River,NF,45.97149,-66.719803,YOY,Smallmouth Bass,82,68,4.4,,,,,Y,,,,,,,,,,,,,,
NF-SMB-YOY-4,2020-09-08,Saint John River,NF,45.97149,-66.719803,YOY,Smallmouth Bass,73,69,4.5,,,,,Y,,,,,,,,,,,,,,
NF-SMB-YOY-5,2020-09-08,Saint John River,NF,45.97149,-66.719803,YOY,Smallmouth Bass,89,84,8.7,,,,,Y,,,,,,,,,,,,,,
NF-SMB-YOY-6,2020-09-08,Saint John River,NF,45.97149,-66.719803,YOY,Smallmouth Bass,86,82,8.4,,,,,Y,,,,,,,,,,,,,,
NF-SMB-A-1,2020-09-08,Saint John River,NF,45.97149,-66.719803,YOY,Smallmouth Bass,104,99,14.6,,,,,Y,1 yr,,,,,,,,,,,,,
NF-SMB-A-2,2020-09-08,Saint John River,NF,45.97149,-66.719803,YOY,Smallmouth Bass,109,104,15,,,,,Y,1 yr,,,,,,,,,,,,,
NF-SMB-YOY-7,2020-09-08,Saint John River,NF,45.97149,-66.719803,YOY,Smallmouth Bass,79,76,7.4,,,,,N,,,,,,,,,,,,,,
NF-SMB-YOY-8,2020-09-10,Saint John River,NF,45.97149,-66.719803,YOY,Smallmouth Bass,64,60,3.4,,,,,Y,,,,,,,,,,,,,,
NF-SMB-YOY-9,2020-09-10,Saint John River,NF,45.97149,-66.719803,YOY,Smallmouth Bass,55,53,2.4,,,,,Y,,,,,,,,,,,,,,
NF-SMB-YOY-10,2020-09-10,Saint John River,NF,45.97149,-66.719803,YOY,Smallmouth Bass,75,71,5.6,,,,,Y,,,,,,,,,,,,,,
NF-SMB-YOY-11,2020-09-10,Saint John River,NF,45.97149,-66.719803,YOY,Smallmouth Bass,87,85,8.5,,,,,Y,,,,,,,,,,,,,,
NF-SMB-YOY-12,2020-09-10,Saint John River,NF,45.97149,-66.719803,YOY,Smallmouth Bass,78,73,7.7,,,,,Y,,,,,,,,,,,,,,
NF-SMB-YOY-13,2020-09-10,Saint John River,NF,45.97149,-66.719803,YOY,Smallmouth Bass,67,64,4,,,,,Y,,,,,,,,,,,,,,
NF-SMB-YOY-14,2020-09-10,Saint John River,NF,45.97149,-66.719803,YOY,Smallmouth Bass,70,67,4.6,,,,,Y,,,,,,,,,,,,,,
NF-SMB-YOY-15,2020-09-10,Saint John River,NF,45.97149,-66.719803,YOY,Smallmouth Bass,58,56,2.5,,,,,Y,,,,,,,,,,,,,,
NF-SMB-YOY-16,2020-09-10,Saint John River,NF,45.97149,-66.719803,YOY,Smallmouth Bass,61,58,2.9,,,,,Y,,,,,,,,,,,,,,
NF-SMB-YOY-17,2020-09-10,Saint John River,NF,45.97149,-66.719803,YOY,Smallmouth Bass,63,60,3.3,,,,,Y,,,,,,,,,,,,,,
NF-SMB-YOY-18,2020-09-10,Saint John River,NF,45.97149,-66.719803,YOY,Smallmouth Bass,76,72,5.6,,,,,Y,,,,,,,,,,,,,,
NF-SMB-YOY-19,2020-09-10,Saint John River,NF,45.97149,-66.719803,YOY,Smallmouth Bass,57,54,2.2,,,,,Y,,,,,,,,,,,,,,
NF-SMB-YOY-20,2020-09-10,Saint John River,NF,45.97149,-66.719803,YOY,Smallmouth Bass,75,72,5.5,,,,,Y,,,,,,,,,,,,,,
NF-SMB-YOY-21,2020-09-10,Saint John River,NF,45.97149,-66.719803,YOY,Smallmouth Bass,54,51,1.9,,,,,Y,,,,,,,,,,,,,,
NF-SMB-YOY-22,2020-09-10,Saint John River,NF,45.97149,-66.719803,YOY,Smallmouth Bass,83,79,7.7,,,,,Y,,,,,,,,,,,,,,
NF-SMB-YOY-23,2020-09-10,Saint John River,NF,45.97149,-66.719803,YOY,Smallmouth Bass,64,61,3.3,,,,,Y,,,,,,,,,,,,,,
NF-SMB-YOY-24,2020-09-10,Saint John River,NF,45.97149,-66.719803,YOY,Smallmouth Bass,65,62,3.7,,,,,Y,,,,,,,,,,,,,,
NF-SMB-YOY-25,2020-09-10,Saint John River,NF,45.97149,-66.719803,YOY,Smallmouth Bass,77,73,5.1,,,,,Y,,,,,,,,,,,,,,
NF-YP-YOY-1,2020-09-10,Saint John River,NF,45.97149,-66.719803,YOY,Yellow Perch,102,97,12.7,,,,,N,1 yr,,,,,,,,,,,,,
NF-YP-YOY-2,2020-09-10,Saint John River,NF,45.97149,-66.719803,YOY,Yellow Perch,90,85,8.7,,,,,N,1 yr,,,,,,,,,,,,,
REF-SMB-YOY-1,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Smallmouth Bass,100,95,14.1,,,,,Y,,,,,,,,,,,,,,
REF-SMB-YOY-2,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Smallmouth Bass,84,80,7.5,,,,,Y,,,,,,,,,,,,,,
REF-SMB-YOY-3,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Smallmouth Bass,76,72,5.7,,,,,Y,,,,,,,,,,,,,,
REF-SMB-YOY-4,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Smallmouth Bass,86,82,9.1,,,,,Y,,,,,,,,,,,,,,
REF-SMB-YOY-5,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Smallmouth Bass,74,70,5.5,,,,,Y,,,,,,,,,,,,,,
REF-SMB-YOY-6,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Smallmouth Bass,75,71,5.7,,,,,Y,,,,,,,,,,,,,,
REF-SMB-YOY-7,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Smallmouth Bass,73,70,5.8,,,,,Y,,,,,,,,,,,,,,
REF-SMB-YOY-8,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Smallmouth Bass,80,77,7,,,,,Y,,,,,,,,,,,,,,
REF-SMB-YOY-9,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Smallmouth Bass,95,90,11.3,,,,,Y,,,,,,,,,,,,,,
REF-SMB-YOY-10,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Smallmouth Bass,73,71,4.8,,,,,Y,,,,,,,,,,,,,,
REF-SMB-YOY-11,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Smallmouth Bass,69,65,4.6,,,,,Y,,,,,,,,,,,,,,
REF-SMB-YOY-12,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Smallmouth Bass,86,82,7.9,,,,,Y,,,,,,,,,,,,,,
REF-SMB-YOY-13,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Smallmouth Bass,66,63,3.8,,,,,Y,,,,,,,,,,,,,,
REF-SMB-YOY-14,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Smallmouth Bass,62,60,3.3,,,,,Y,,,,,,,,,,,,,,
REF-SMB-YOY-15,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Smallmouth Bass,75,72,5.6,,,,,Y,,,,,,,,,,,,,,
REF-YP-YOY-1,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,68,64,3.1,,,,,Y,,,,,,,,,,,,,,
REF-YP-YOY-2,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,66,63,3.1,,,,,Y,,,,,,,,,,,,,,
REF-YP-YOY-3,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,75,72,4.4,,,,,Y,,,,,,,,,,,,,,
REF-YP-YOY-4,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,74,71,4.9,,,,,Y,,,,,,,,,,,,,,
REF-YP-YOY-5,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,74,71,4.6,,,,,Y,,,,,,,,,,,,,,
REF-YP-YOY-6,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,79,76,5.1,,,,,Y,,,,,,,,,,,,,,
REF-YP-YOY-7,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,75,71,4.2,,,,,Y,,,,,,,,,,,,,,
REF-YP-YOY-8,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,64,61,3,,,,,Y,,,,,,,,,,,,,,
REF-YP-YOY-9,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,72,68,4.2,,,,,Y,,,,,,,,,,,,,,
REF-YP-YOY-10,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,77,73,4.9,,,,,Y,,,,,,,,,,,,,,
REF-YP-YOY-11,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,71,68,4,,,,,Y,,,,,,,,,,,,,,
REF-YP-YOY-12,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,81,77,5.5,,,,,Y,,,,,,,,,,,,,,
REF-YP-YOY-13,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,72,68,3.8,,,,,Y,,,,,,,,,,,,,,
REF-YP-YOY-14,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,66,64,3,,,,,Y,,,,,,,,,,,,,,
REF-YP-YOY-15,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,80,76,5.9,,,,,Y,,,,,,,,,,,,,,
REF-YP-YOY-16,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,86,83,6.6,,,,,Y,,,,,,,,,,,,,,
REF-YP-YOY-17,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,129,124,18.3,,,,,Y,1 yr,,,,,,,,,,,,,
REF-YP-YOY-18,2020-09-11,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,141,135,25.9,,,,,Y,1 yr,,,,,,,,,,,,,
REF-SMB-YOY-16,2020-09-21,Saint John River,REF,46.18625,-67.554377,YOY,Smallmouth Bass,87,85,2.3,,,,,N,Weight likely wrong,,,,,,,,,,,,,
REF-SMB-YOY-17,2020-09-21,Saint John River,REF,46.18625,-67.554377,YOY,Smallmouth Bass,57,54,2.3,,,,,N,,,,,,,,,,,,,,
REF-SMB-YOY-18,2020-09-21,Saint John River,REF,46.18625,-67.554377,YOY,Smallmouth Bass,78,75,5.3,,,,,N,,,,,,,,,,,,,,
REF-SMB-YOY-19,2020-09-21,Saint John River,REF,46.18625,-67.554377,YOY,Smallmouth Bass,74,70,3.7,,,,,N,,,,,,,,,,,,,,
REF-SMB-YOY-20,2020-09-21,Saint John River,REF,46.18625,-67.554377,YOY,Smallmouth Bass,83,79,6.4,,,,,N,,,,,,,,,,,,,,
REF-SMB-YOY-21,2020-09-21,Saint John River,REF,46.18625,-67.554377,YOY,Smallmouth Bass,86,81,7.1,,,,,N,,,,,,,,,,,,,,
REF-SMB-YOY-22,2020-09-21,Saint John River,REF,46.18625,-67.554377,YOY,Smallmouth Bass,91,86,8.9,,,,,N,,,,,,,,,,,,,,
REF-SMB-YOY-23,2020-09-21,Saint John River,REF,46.18625,-67.554377,YOY,Smallmouth Bass,81,78,6.1,,,,,N,,,,,,,,,,,,,,
REF-SMB-YOY-24,2020-09-21,Saint John River,REF,46.18625,-67.554377,YOY,Smallmouth Bass,88,84,7.7,,,,,N,,,,,,,,,,,,,,
REF-SMB-YOY-25,2020-09-21,Saint John River,REF,46.18625,-67.554377,YOY,Smallmouth Bass,89,85,8.8,,,,,N,,,,,,,,,,,,,,
REF-SMB-YOY-26,2020-09-21,Saint John River,REF,46.18625,-67.554377,YOY,Smallmouth Bass,92,88,9.7,,,,,N,,,,,,,,,,,,,,
REF-SMB-YOY-27,2020-09-21,Saint John River,REF,46.18625,-67.554377,YOY,Smallmouth Bass,99,95,12,,,,,N,,,,,,,,,,,,,,
REF-YP-YOY-19,2020-09-21,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,74,70,3.9,,,,,N,,,,,,,,,,,,,,
REF-YP-YOY-20,2020-09-21,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,72,68,3.8,,,,,N,,,,,,,,,,,,,,
REF-YP-YOY-21,2020-09-21,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,81,78,4.8,,,,,N,,,,,,,,,,,,,,
REF-YP-YOY-22,2020-09-21,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,73,70,3.9,,,,,N,,,,,,,,,,,,,,
REF-YP-YOY-23,2020-09-21,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,76,71,4.2,,,,,N,,,,,,,,,,,,,,
REF-YP-YOY-24,2020-09-21,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,71,68,3.2,,,,,N,,,,,,,,,,,,,,
REF-YP-YOY-25,2020-09-21,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,75,71,4.1,,,,,N,,,,,,,,,,,,,,
REF-YP-YOY-26,2020-09-21,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,64,62,2.4,,,,,N,,,,,,,,,,,,,,
REF-YP-YOY-27,2020-09-21,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,75,71,3.8,,,,,N,,,,,,,,,,,,,,
REF-YP-YOY-28,2020-09-21,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,74,70,3.9,,,,,N,,,,,,,,,,,,,,
FF-YP-YOY-1,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,63,58,2.1,,,,,N,,,,,,,,,,,,,,
FF-YP-YOY-2,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,71,67,3.2,,,,,N,,,,,,,,,,,,,,
FF-YP-YOY-3,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,63,60,2.8,,,,,N,,,,,,,,,,,,,,
FF-YP-YOY-4,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,71,68,3.6,,,,,N,,,,,,,,,,,,,,
FF-YP-YOY-5,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,71,67,3.5,,,,,N,,,,,,,,,,,,,,
FF-YP-YOY-6,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,76,72,4.5,,,,,N,,,,,,,,,,,,,,
FF-YP-YOY-7,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,63,60,2.1,,,,,N,,,,,,,,,,,,,,
FF-YP-YOY-8,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,73,68,3,,,,,N,,,,,,,,,,,,,,
FF-YP-YOY-9,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,71,68,3.5,,,,,N,,,,,,,,,,,,,,
FF-YP-YOY-10,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,65,62,2.8,,,,,N,,,,,,,,,,,,,,
FF-YP-YOY-11,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,73,68,3.9,,,,,Y,,,,,,,,,,,,,,
FF-YP-YOY-12,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,61,58,2.6,,,,,Y,,,,,,,,,,,,,,
FF-YP-YOY-13,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,69,65,3.5,,,,,Y,,,,,,,,,,,,,,
FF-YP-YOY-14,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,66,63,3,,,,,Y,,,,,,,,,,,,,,
FF-YP-YOY-15,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,64,61,3.1,,,,,Y,,,,,,,,,,,,,,
FF-YP-YOY-16,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,70,67,3.7,,,,,Y,,,,,,,,,,,,,,
FF-YP-YOY-17,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,69,65,3.6,,,,,Y,,,,,,,,,,,,,,
FF-YP-YOY-18,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,65,62,3,,,,,Y,,,,,,,,,,,,,,
FF-YP-YOY-19,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,55,53,1.7,,,,,Y,,,,,,,,,,,,,,
FF-YP-YOY-20,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,77,72,5,,,,,Y,,,,,,,,,,,,,,
FF-YP-YOY-21,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,63,60,2.7,,,,,Y,,,,,,,,,,,,,,
FF-YP-YOY-22,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,60,56,2.4,,,,,Y,,,,,,,,,,,,,,
FF-YP-YOY-23,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,73,69,4,,,,,Y,,,,,,,,,,,,,,
FF-YP-YOY-24,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,72,69,4.1,,,,,Y,,,,,,,,,,,,,,
FF-YP-YOY-25,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,69,66,3.4,,,,,Y,,,,,,,,,,,,,,
FF-YP-YOY-26,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,60,57,2.4,,,,,N,,,,,,,,,,,,,,
FF-YP-YOY-27,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,61,57,2.2,,,,,N,,,,,,,,,,,,,,
FF-YP-YOY-28,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,69,65,3.7,,,,,N,,,,,,,,,,,,,,
FF-YP-YOY-29,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,63,60,2.7,,,,,N,,,,,,,,,,,,,,
FF-YP-YOY-30,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,70,67,4,,,,,N,,,,,,,,,,,,,,